,doc_id,text,country,year
513793,SYR_44_1989.txt.19,"The rulers of Israel, with their Zionist doctrine, which is unmatched in fanaticism and fundamentalism, continue to live in another age, although they possess the most advanced means, the latest equipment, particularly in the field of armaments.",SYR,1989
1807670,ROU_67_2012.txt.1,﻿The,ROU,2012
556054,AUT_47_1992.txt.256,At the beginning of this year further legal measures were,AUT,1992
1243540,MDV_57_2002.txt.33,"We shared their grief,",MDV,2002
1873712,TGO_68_2013.txt.70,"was called upon to uphold its commitments, in",TGO,2013
904209,DEU_52_1997.txt.294,Thus the aims and ideals enshrined in the Charter are,DEU,1997
1390530,EGY_60_2005.txt.182,It,EGY,2005
1787478,IRN_67_2012.txt.467,"human being, named the Imam Al-Mahdi — a man",IRN,2012
476427,VUT_42_1987.txt.202,The Government of Vanuatu wishes to make it clear once again that it has no quarrel with the Government or people of Prance.,VUT,1987
1018415,TZA_53_1998.txt.687,and the principles of the Charter.,TZA,1998
1273018,BRA_58_2003.txt.327,But we need to make a,BRA,2003
1429305,AUS_61_2006.txt.208,The United,AUS,2006
440940,BRB_41_1986.txt.12,Barbadians have learned from their history as an island community that there is a special challenge which nature presents to those on small islands.,BRB,1986
1669791,HUN_65_2010.txt.74,Hungary is committed to reducing greenhouse gas,HUN,2010
678721,USA_48_1993.txt.409,restoring conditions of security to almost the entire country.,USA,1993
929403,MDG_52_1997.txt.160,"My delegation, however, would appeal for greater",MDG,1997
635151,GNQ_48_1993.txt.165,Forty-eighth session - 13 October l993 3,GNQ,1993
1528449,TGO_62_2007.txt.100,now to repeat my Government’s gratitude to the,TGO,2007
705212,GEO_49_1994.txt.409,measure - military force.,GEO,1994
1294528,LBN_58_2003.txt.214,"Council, expanding its membership, giving it more",LBN,2003
9888,THA_25_1970.txt.167,Any form of cooperation between the developed and the developing countries should bring about benefits for both sides.,THA,1970
697477,CZE_49_1994.txt.50,"One wonders whether, today, the necessary troops could even be assembled.",CZE,1994
1349496,LBR_59_2004.txt.150,agencies and the Central Bank of Liberia.,LBR,2004
1056360,JPN_54_1999.txt.238,to reactivate the START process and promptly to,JPN,1999
64535,ITA_28_1973.txt.59,"I refer to the crisis in the Middle East — which I have already dealt with — the remnants of colonialism in Africa, apartheid, racial discrimination, the serious violations of fundamental freedoms of individuals and of peoples which occur also on other continents, and the problems of the normalization of political relations in Asia.",ITA,1973
1600709,COM_64_2009.txt.127,natural catastrophes whose consequences only,COM,2009
1503613,IRL_62_2007.txt.270,on our agenda.,IRL,2007
169926,ALB_33_1978.txt.221,"They do so to justify their hegemonistic designs, which they camouflage by the alleged need to fight one of the super-Powers.",ALB,1978
939490,PHL_52_1997.txt.191,We must protect our women.,PHL,1997
147214,BRA_32_1977.txt.145,39.,BRA,1977
1893746,CUB_69_2014.txt.99,"discriminated against, as permanent and non-permanent",CUB,2014
1426736,ZAF_60_2005.txt.213,"Programmeís 2005 Human Development Report, which",ZAF,2005
370749,ESP_38_1983.txt.196,"We call on their leaders to do their utmost to reach a compromise which will enable them to live in peace and good-neighbourliness, with respect for sovereignty and territorial integrity.",ESP,1983
1073046,NOR_54_1999.txt.288,AIDS is also taking a heavy toll.,NOR,1999
1566058,MDA_63_2008.txt.161,constitute new and important opportunities for,MDA,2008
1977218,ESP_72_2017.txt.35,"Spain would like to help the new Iraq by, inter alia, assisting with the training of its security forces.",ESP,2017
1940314,BEN_70_2015.txt.90,30/09/2015 A/70/PV.21,BEN,2015
446695,GUY_41_1986.txt.78,"Thus, the promising levels of economic activity achieved in 1984 have not been maintained, and the anticipated recovery is yet to be realized.",GUY,1986
1729019,JAM_66_2011.txt.376,NCDs last week allowed us for the first time to agree,JAM,2011
289280,CHL_37_1982.txt.462,upon the States of this disturbed area to,CHL,1982
2003905,SMR_73_2018.txt.25,The credibility and authoritativeness of the United Nations depend on its ability to transform objectives into concrete actions that have a real and measurable impact on peoples’ lives.,SMR,2018
564356,COG_47_1992.txt.32,change.,COG,1992
716295,KNA_49_1994.txt.334,These limited material resources are under,KNA,1994
1995784,GRD_73_2018.txt.2,I join previous speakers in congratulating the President on her election to preside over the General Assembly at its seventy-third session.,GRD,2018
27109,ROU_26_1971.txt.35,"My country believes it is a primary obligation of all States to refrain from the use or threat of force, from coercion and constraint, from any act generating tension, and ensure the settlement of disputes by exclusively peaceful means.",ROU,1971
71525,RUS_28_1973.txt.294,159.,RUS,1973
790943,LUX_50_1995.txt.178,States find themselves increasingly threatened,LUX,1995
1368341,SWZ_59_2004.txt.18,"terms, terrorism which constantly threatens world",SWZ,2004
1657527,CHE_65_2010.txt.195,"immutable historic monument, but rather turn it into a",CHE,2010
600339,SLV_47_1992.txt.8,"prestige, your dedication to the ideals that inspire our Organization and the",SLV,1992
1910147,KWT_69_2014.txt.186,We also emphasize the importance of reaching,KWT,2014
294961,CSK_37_1982.txt.645,self-determination and to decide independently on,CSK,1982
413472,SDN_39_1984.txt.53,"The combined impact of these factors has resulted, in the short term, in suffering and sacrifices and, in the long term, would undermine and halt our development efforts.",SDN,1984
1554492,GRC_63_2008.txt.301,"As individual States, we have no",GRC,2008
122931,BWA_31_1976.txt.54,"The state of tension and insecurity of the peoples of the Middle East continues to occupy the attention of our Organization despite the interim accords on the disengagement of forces in the Sinai and Suez, and on the Golan Heights, which we welcomed last year.",BWA,1976
656044,MUS_48_1993.txt.337,increased participation in this year’s session suggests that the,MUS,1993
15076,CIV_26_1971.txt.211,"It is a labor of every day, of every instant in all circumstances.",CIV,1971
1870346,SOM_68_2013.txt.294,As a Somali who has lived through the world’s,SOM,2013
722260,MDA_49_1994.txt.189,"context, it should be mentioned that the authorities of the",MDA,1994
188675,PAK_33_1978.txt.131,"Pakistan has consistently maintained that security guarantees to non-nuclear States should be given multilateral form, and should not be put forward as bilateral transactions.",PAK,1978
431174,MUS_40_1985.txt.87,We believe that it is within their power to do so.,MUS,1985
413775,SGP_39_1984.txt.39,The peoples of Palestine and Namibia are still struggling for independence.,SGP,1984
764804,COG_50_1995.txt.252,power at a more grass-roots level.,COG,1995
215634,PNG_34_1979.txt.90,I believe genuine and lasting peace can be created only through the effective implementation of the security system as provided for in the Charter of the United Nations.,PNG,1979
136476,NIC_31_1976.txt.132,In that spirit we participated in the Third Ministerial Meeting at Manila which approved the declaration and plan of action of the Group of 77.,NIC,1976
1055494,JAM_54_1999.txt.268,which has for so long impeded the progress of that,JAM,1999
1652196,BEL_65_2010.txt.124,product on development cooperation.,BEL,2010
1568042,MMR_63_2008.txt.155,"child transmission and community, institution and",MMR,2008
1243156,MDA_57_2002.txt.159,rights on the world stage.,MDA,2002
289741,CHN_37_1982.txt.131,co-operation and scientific-technological,CHN,1982
362824,AUT_38_1983.txt.128,crucial importance that these trends be transformed into,AUT,1983
1875343,TON_68_2013.txt.137,Development Goals Acceleration Framework and,TON,2013
1634455,RUS_64_2009.txt.387,I,RUS,2009
914604,GTM_52_1997.txt.183,"Central American leaders, have come together to this",GTM,1997
1307086,PSE_58_2003.txt.70,"Israel lays the blame on Arafat, after it",PSE,2003
427954,JAM_40_1985.txt.97,These problems and the plight of our countries have been seriously exacerbated by the continuation of unfavorable international economic conditions.,JAM,1985
46797,NIC_27_1972.txt.163,"In all that I have said here in terms of the general lines of the policy followed by the National Government Junta of Nicaragua, there is only the most fervent faith that my country and its Government have in this Organization as a moral beacon and the seedbed of positive law in which peoples that love peace should cement their hopes for the future.",NIC,1972
1778078,ECU_67_2012.txt.106,able to veto the remaining 97.5 per cent.,ECU,2012
288820,CHL_37_1982.txt.2,its President carry out the important duties,CHL,1982
1122330,KAZ_55_2000.txt.308,This,KAZ,2000
1279695,DOM_58_2003.txt.147,is making efforts to ensure that at the primary level,DOM,2003
46006,MRT_27_1972.txt.168,"The Royal Government of National Union of Cambodia, under the enlightened leadership of Prince Sihanouk, today controls over 80 per cent of the territory and the population of the country.",MRT,1972
244891,SGP_35_1980.txt.18,89.,SGP,1980
951935,UKR_52_1997.txt.58,security and stability throughout the world.,UKR,1997
1921201,PAK_69_2014.txt.232,largest troop-contributing country.,PAK,2014
1434602,BWA_61_2006.txt.51,development partners from all continents.,BWA,2006
700364,ECU_49_1994.txt.239,assistance for the victims in Rwanda.,ECU,1994
1828913,BLZ_68_2013.txt.191,While Belize appreciates that the activities of,BLZ,2013
92675,PRT_29_1974.txt.97,Respect for the principles of independence and equality among States and /ion-interference in the internal affairs of other countries.,PRT,1974
298165,DEU_37_1982.txt.1003,effective strategy for the safeguarding of peace.,DEU,1982
1171566,EGY_56_2001.txt.360,"violence and hatred that are born of illegal, unjust",EGY,2001
789784,LKA_50_1995.txt.419,"Chairman of the Ad Hoc Committee, has been in",LKA,1995
1392523,FSM_60_2005.txt.132,economic progress and collective security.,FSM,2005
1388669,CZE_60_2005.txt.164,HIV/AIDS?,CZE,2005
159175,MAR_32_1977.txt.233,124.,MAR,1977
2002592,PRT_73_2018.txt.22,"With regard to multilateralism and international law in the area of oceans and maritime security, Portugal is actively involved in preparations for the second United Nations Ocean Conference, in 2020, and stands ready to assume all responsibilities related to that.",PRT,2018
1780627,FJI_67_2012.txt.68,"less burdened, and generations given a better chance to",FJI,2012
853204,JPN_51_1996.txt.44,future generations must be based on the following three,JPN,1996
1691395,SLB_65_2010.txt.114,issues of human rights.,SLB,2010
538764,CPV_46_1991.txt.97,The need for United Nations reform has already led to some administrative and financial adjustments in its structure and more recently in the functioning of the Economic and Social Council.,CPV,1991
844315,GIN_51_1996.txt.9,His election is testimony to the international,GIN,1996
1856406,MEX_68_2013.txt.178,a meeting in Mexico to promote a global perspective,MEX,2013
336728,PAN_37_1982.txt.306,The TreatiesI that arose from those negotiations,PAN,1982
232213,GNB_35_1980.txt.92,"It is estimated that today there are 5 million of these unfortunate people in Africa, 5 million human beings fleeing death in tragic circumstances and compelled to live more often than not in indescribable poverty.",GNB,1980
172290,BOL_33_1978.txt.132,"Meanwhile, local wars not only do not disappear but are multiplying.",BOL,1978
1464683,OMN_61_2006.txt.90,has launched a national strategy aimed at protecting the,OMN,2006
1314176,THA_58_2003.txt.111,Domestic legislation,THA,2003
685904,BDI_49_1994.txt.223,Such a conference could pave the way for the creation of,BDI,1994
853944,KAZ_51_1996.txt.289,session on environment and sustainable development in the,KAZ,1996
1277758,CUB_58_2003.txt.37,"No, it does not.",CUB,2003
790150,LSO_50_1995.txt.221,"December 1994, in which it decided to undertake, at its",LSO,1995
1810402,SLV_67_2012.txt.177,small portion of humankind is able to enjoy remains,SLV,2012
276690,AGO_37_1982.txt.2,"behalf of the Government of the People's Republic of Angola, our most",AGO,1982
320003,KEN_37_1982.txt.300,now ready for the implementation of Namibia's,KEN,1982
179206,GHA_33_1978.txt.114,"If the peace initiatives and the meetings at Camp David have not produced a dramatic and final result, one would hope that the agreement reached has at least contributed to a better understanding of the fears and concerns of some of the contestants and laid a foundation for more productive future negotiations for a settlement.",GHA,1978
1100830,BWA_55_2000.txt.87,conditions for national reconciliation in that country,BWA,2000
522567,FRA_45_1990.txt.104,And at the end of that road we must take up the idea of an international conference as the catalyst and the qurator of the implementation of any successful negotiation.,FRA,1990
835539,CYP_51_1996.txt.18,"the same time, we acknowledged that our main",CYP,1996
515163,UKR_44_1989.txt.159,Our policy of asserting the supremacy of international law is intimately related to the process of creating our own State based on a genuine rule of law.,UKR,1989
744806,TTO_49_1994.txt.236,Agenda for Development as a necessary complement to the,TTO,1994
514674,TZA_44_1989.txt.25,The international community must recognize that these are the same old tricks that the regime has used in the past to ward off international pressure.,TZA,1989
1585378,TZA_63_2008.txt.342,I urge,TZA,2008
836980,DJI_51_1996.txt.198,an integral part of it.,DJI,1996
892428,AZE_52_1997.txt.331,There is an effective mechanism for,AZE,1997
461747,COD_42_1987.txt.37,The summit meeting of the super-Powers is therefore awaited with great interest with a view to the conclusion of the agreement that has now been achieved by the foreign ministers.,COD,1987
620574,CHN_48_1993.txt.196,We also believe that humanitarian,CHN,1993
1987990,TUV_72_2017.txt.100,Tuvalu strongly believes that the United Nations must engage in setting a clear pathway to address these issues and the issue of self-determination for the people of West Papua.,TUV,2017
825002,BEL_51_1996.txt.171,to guarantee the reconstruction and sustainable,BEL,1996
