,text_clean,coding
145,hope council recognize principle struggle extermination million human beings year hunger today devastating nuclear weapons,security
146,share view,development
147,possibility granting certain exemptions,human
148,deputies state duma ratify convention,democracy
149,survival humanity planet,development
150,uzbekistan highly appreciates efforts,greeting
151,mentioned found international,security
152,towards youth future future,development
153,therefore call upon,un
154,despite technological advances last decade,development
155,millions long end conflicts,security
156,session general assembly begins,un
157,understood,development
158,vulnerable countries peoples culture,development
159,education accompanied international,development
160,would like connexion clarify opposed negotiation process contrary believe best means achieving peaceful solution problem,security
161,inside afghanistan sinister design pursued genocide largescale uprooting population,security
162,ever since war october living era finding much economic sphere interests nations great small bound together interdependent,development
163,commonwealth dominica privileged,development
164,industrialized countries account bulk worlds accumulated pollution resource depletion,development
165,reservations,un
166,lagos agreement signed august valid historical compromise normalization political life chad following bloody events february march,security
167,first halfcentury,development
168,settlement international disputes situations,security
169,regions countries torn widespread poverty,development
170,september fully recognizing progress,security
171,paradoxically note efforts made remedy serious situation thus far doomed failure,development
172,hope promises made summit lead reduction greenhousegas emissions total neutralization,development
173,peace without justice,security
174,agreement responds current,development
175,dialogue aegis oau,un
176,benefited development partnership,development
177,tunb abu musa peaceful means accordance,security
178,struggle palestinian people freedom selfdetermination continues,human
179,bearing mind country development efforts gives balanced consideration issues,development
180,indochinese problem settled basis immediate unconditional withdrawal american troops region,security
181,stakeholders crucial providing necessary,un
182,state body highest level holding regular,democracy
183,affiliated organs specialized agencies united,un
184,confidencebuilding measures primarily military,security
185,high interest rates resulted reduced capital inflows developed developing world many cases reverse flow,development
186,riots political instability worldwide within,security
187,acknowledge mutual right statehood,greeting
188,korea prepared play active role commensurate,security
189,conditional aid adequately corresponded,development
190,celebrating years enjoying nuclear,greeting
191,central african republic universal,un
192,working joint framework document setting,development
193,order many grown accustomed,development
194,socalled war drugs,security
195,opinions diversity approaches right peoples,un
196,panama also country small size great,development
197,view however text supported states,security
198,office internal oversight services last session,un
199,remain actively,development
200,interdependence economies nations well known need repetition,security
201,government noncompliance agreements,development
202,comprehensively throughout occupied palestinian,security
203,us developing countries whose daily concern try satisfy vital elementary needs peoples whose survival threatened prosperity remains theory,development
204,require new commitment part,security
205,economy trade liberalization information revolution,development
206,could well offset comparative advantages processing found many developing countries,development
207,safeguards rights citizens,human
208,another field muster forces relates plague terrorism hijacking,security
209,conditions peace security important,security
210,development least developed countries,development
211,second world war,security
212,implies common responsibility solidarity respect neighbours,un
213,also confident great honour legacy left predecessor good friend dante caputo,greeting
214,one consequences economic difficulties unrest massive migration young africans places particularly europe,security
215,far principal organs united nations,un
216,strengthening dialogue,security
217,believe,un
218,sixtyfirst session,greeting
219,negotiations,security
220,yielding council truly represents realities,security
221,need thorough reform organs structure,un
222,like countries country believes,development
223,service community owned political,democracy
224,possible time available give comprehensive,un
225,fear coercion united nations best placed,un
226,member states,un
227,various forces hostile detente pinned,security
228,success,security
229,substantial aspects foreign policy,security
230,generally dangerous play words forum means everyone ready applaud insults summarily flung entire countries peoples,security
231,assembly thus reassure countrys backers,un
232,indochina war torn area long still continues,un
233,many challenges remain,security
234,summits conferences economic social,development
235,recent times questioning value united nations institutions marked tendency avoid disregard available multilateral arrangements handling specific matters,un
236,support find modern institutional means curbing,development
237,need provided solutions problems,development
238,hence ability finance development,development
239,may,un
240,countries responsible failure,un
241,fraud ineffective regulatory controls oversight,un
242,newfound flexibility reasonableness must pave way future reductions still awesome arsenals hoped encourage nuclearweapon states begin process nuclear disarmament,security
243,however response financial sector remains lukewarm,un
244,nations security council counterterrorism,security
245,challenge us,security
246,organized crime weakens public security,security
247,connection support extremely timely soviet proposal concerning inadmissibility policy state terrorism,security
248,measured success stability pact,security
249,treaty outlaws nucleartest explosions,security
250,west bank represent significant progress,security
251,international concern overshadowed,security
252,review must examine means,un
253,complex international environment,security
254,think would true pacific island countries wider sids,development
255,first promotinge cooperation among members,un
256,countries honour obligations increase,security
257,principles challenged,un
258,indeed deeply disappointed refusal,un
259,rights nations never exhausted,democracy
260,delegation viewed deep concern recent events cyprus,un
261,caused action forces disregard realities todays world however far pessimistic,security
262,assembly sixtyfifth session first time,greeting
263,humanitarian emergencies make clear,human
264,people depended earn,security
265,denuclearization also open avenue,security
266,regulatory reforms established ensure,un
267,integration processes,un
268,since,development
269,fifthly done enough address root,un
270,security southern western regions israel,security
271,believe,un
272,pursue deeper,security
273,libya another critical area mediterranean,security
274,one course action united nations put house order,un
275,took major step forward together year ago seventh special session assembly since followed many fronts,security
276,contusion like make brief observation,un
277,comes eliminating sources instability,security
278,lost lives process restoring,human
279,three,development
280,reality however opportunities never,security
281,goal responds moral duty,human
282,groups waged struggle freedom afghanistan,human
283,world many ways products long,un
284,kuwait believes donor drive,un
285,charter united nations,un
286,comforting developing states,development
287,nations ready shoulder implied responsibility,un
288,session delegation submit,un
289,messages call violence sometimes,security
290,realities selfevident,un
291,positive effects regional stability,security
292,justice parties concerned quickly turned whole,security
293,follows necessary measures,development
294,greatest possible danger region must,security
295,second economy cannot generate,development
296,million high level economic development full,development
297,mankind progressing,security
298,approach regard middle east,security
299,past six years increase world food output approximately per cent,development
300,total separation criminal networks,security
301,purposes principles organization,un
302,embrace need,security
303,express full readiness government,development
304,also like believe discussions emerge united nations system organized tackle determination effectiveness essential job development decades ahead,un
305,shall keep effort areas everything promote urgent peaceful change,development
306,global communications media recently attempt,security
307,interdependence becoming dominant characteristic whole range issues relating development,development
308,train young people,development
309,courage pursuit justice protesting,human
310,environment mdgs seen important progress,development
311,development,development
312,consumption,development
313,essential cause evils afflicting peoples never,security
314,take opportunity reaffirm unwavering,greeting
315,controlling nuclear arms management nuclear,security
316,enduring peace,security
317,first step acceded,development
318,achieve greater rapprochement cooperation,security
319,initiatives give new dynamics work,un
320,unsavory company find certain politicians politicians rather statesmen guise pseudorevolutionary phraseology actually damage national liberation movements cause peace international cooperation,un
321,critical stage history must,un
322,decisionmaking processes,un
323,improve international climate resolve political means,security
324,conviction best possible way ensure respect human,human
325,venturing interpret policy opec would assure hope petroleumproducing countries agreement countries producing raw materials industrialized countries equitable bring international justice reached world body united nations view striking proper acceptable balance prices paid us labor men women povertystricken countries paid economies imports require,development
326,innocent tourist demand release,human
327,scale banditry illegal armstrafficking networks,security
328,regard united nations,un
329,believe,un
330,take united nations seriously believe general debate session assembly exercise platitudes politeness,un
331,moved peaceful transitions power ever transparent open electoral system,democracy
332,nonaligned group today united numerically stronger better placed ever exert influence course international relations political economic social spheres thereby fortify united nations efforts directed towards application enforcement principles purposes charter,un
333,impunity,security
334,hoped namibia would independent within year,security
335,case,un
336,political program based principles,un
337,allow crisis push worlds great,un
338,rather shake us core move us take action,security
339,stable borders completely free exercise,security
340,protection minorities cannot separated,human
341,copenhagen summit convened,development
342,significant changes taken place economic political configuration southern africa,development
343,surely must issue warrants careful consideration,development
344,establish lasting peace middle east interests states area peoples inhabiting necessary israeli forces withdrawn arab territories occupied ensure lawful rights arab people palestine including right establish state guarantee rights countries middle east independent development,security
345,partners work together preserve security gulf region combat terrorism provide protection international navigation commerce routes particular close cooperation bahrain defense force american fifth fleet based kingdom bahrain,security
346,mr boutrosghalis election contribution egypt africa third,un
347,secretarygeneral encouraged us approach meeting climate change basis concrete engagement future actions rather negotiation discussion,development
348,end republic korea,security
349,asians homes uganda generations,development
350,community actions,development
351,among factors human development indices,human
352,south africas presence namibia militarization territory policy brutal repression namibian people ruthless exploitation peace loving people plundering namibias resources deliberate destruction national unity territorial integrity view government burundi criminal acts aggression nation namibia flout international community,security
353,mr president let join representatives spoken congratulating warmly election high onerous office,greeting
354,bases principles established madrid,security
355,determined achieve particular outcome,development
356,trinidad tobago concerned serious,security
357,legitimate movements,security
358,us many premier multilateral institutions,development
359,results,development
360,united nations charter contains powers security council needs resolution implemented,un
361,zambia therefore,security
362,current international situation marked signs deterioration international relations,development
363,implementation programme,un
364,children world including longing,human
365,united nations exactly year ago new,greeting
366,nations african union order ensure,un
367,world community must lose capacity moral anger many cases perhaps instrument today exert pressure oppressor,security
368,russia,security
369,contrary seem welcomed european capitals victims unjust social order,human
370,security,security
371,todays complex interconnected world modest countries like albania may expected compete economies material assets,development
372,peace negotiations taking credible steps towards,security
373,right,development
374,objectives realities portuguese policies africa compel us reject unfounded criticism leveled us organization,development
375,tarifffree market access least developed,development
376,definition political status abkhazia within,security
377,assistance resolving conflicts early stage,security
378,legitimate reinstated government sierra leone,security
379,hosting apec event huge challenge developing country people sometimes paralyse focusing perceived shortfalls problems,development
380,still tariff peaks tariff,development
381,communitys joint actions maintaining international,security
382,provisions chapter vii charter show way give means security council charter given primary task maintaining international peace security,security
383,also entered joint,security
384,conclusion facing great historic responsibilities respect peace security peoples,security
385,management particularly valuable,development
386,event venezuelans shall relent quest since convinced necessary use dialog oppose try promote war confrontation,security
387,mr amara essy skilful way reflected,development
388,need make legal provision protecting,human
389,great stress limited infrastructure facilities,development
390,also find great,development
391,nothing could starkly illustrate policy israel continuous threat islamic holy places jerusalem alkhalil hebron subjected,security
392,representative libya,security
393,opportunity express sincere thanks countries,greeting
394,world net result human loss suffering,security
395,predecessor mwalimu julius k nyerere renewed tanzanias faith united nations,greeting
396,last act,security
397,believe refusal,security
398,going produce capital development aid parsimoniously doled us,development
399,stabilized financial sector,development
400,states respected boundary disputes,security
401,development involved,development
402,note enormous satisfaction first agreements reached two koreas like see signs fuller understanding two parts single people,greeting
403,seats local bodies reserved,development
404,would like commend international efforts,greeting
405,prevention management settlement local,human
406,understanding fraternity,greeting
407,billion,development
408,secretary general mr javier perez de cuellar,greeting
409,face complex nature emerging,development
410,chiluba,un
411,targets second commitment period kyoto,development
412,substance azerbaijani republics national,security
413,millennium summit integral part would,development
414,would like take opportunity commend,greeting
415,desirable create european agency rate,security
416,people,human
417,disintegration priori contradiction logic needs,security
418,current,development
419,present stage negotiations however delegation notes regret little tangible progress achieved,development
420,pleased note proposals subject south atlantic made rostrum mr jose sarney president country successfully made reality initiative culminating general assemblys approval resolution october,greeting
421,given values cannot deprive billion people right say direction global agenda,development
422,secretarygeneral,un
423,serious question approach,security
424,yet others forged theory claim guatemala belize although legitimate subject principles still discussion doctrine international law attempts made give preferential validity certain definite rights,human
425,distribution government resources adequate attention paid,un
426,avoided,security
427,everybody demonstrating reaction stand,security
428,international community failed form effective,development
429,economy rule law security citizen regional,development
430,even realizing feelings shared entire,un
431,reforms,un
432,without waiting new report,security
433,eritrea justified feeling ethiopian people,security
434,would like take opportunity congratulate sir assuming important duties,greeting
435,world oppressed dispossessed people,security
436,must double multiple standards,un
437,organization unesco serves lead agency,development
438,multilateral bilateral institutions continue,development
439,lessening tensions also witnessed korean peninsula,security
440,congratulate mr kittani skill,greeting
441,reason many diplomatic efforts also failed bear fruit,security
442,year world spent staggering sum billion arms,un
443,situation central america deserves attention,human
444,excessively injurious indiscriminate,security
445,hivaids dangerous diseases,development
446,remain mere rhetoric unless translate real,un
447,reality however apartheid republic vorster become like big horrid spider sitting center entire southern african region entangling everything everybody odious web,un
448,definitely one security one,security
449,must adopt important decisions designed,development
450,united nations overcome challenges facing,un
451,existence,un
452,secretarygeneral mr kofi annan express,un
453,sometimes goes beyond role originally envisaged,security
454,international community views justified apprehension continuing deterioration economic conditions great number countries especially african continent,development
455,global issues,development
456,efforts truly successful refugees become established full fledged members canadian middle class,security
457,ever developing world feels,development
458,council term,un
459,course preclude similar action competent organs united nations including security council secretarygeneral,un
460,conclusion let us reflect following,un
461,together socialist countries shall continue work interest improving international relations,development
462,threetime host un climate conferences cop poznan cop warsaw cop katowice poland committed fight environmental changes,human
463,acquired new substance quality,security
464,finally would like repeat call,security
465,time however intensification imperialist neocolonialist manoeuvres designed impose puppet regimes peoples zimbabwe namibia order shield attempts preserve economic interests capitalist monopolies corporations neo colonialist basis,development
466,let us untiring search peace,greeting
467,infrastructure country damage date,security
468,nations reference fundamental rights,human
469,nearer us south africa mauritius welcomes recent peace accord signed de klerk government african national congress south africa anc inkatha others curb violence country,security
470,well prevention tension conflict,security
471,becoming partners multicountry discourse,development
472,since difficult times emancipation,development
473,experiencing slowdown well,un
474,participation seen rival duplication,security
475,impels reaffirm urgent need develop,development
476,look forward,security
477,inflaming antiarmenian sentiments among people spending enormous resources armaments antiarmenian hate speech become official policy azerbaijan,security
478,let turn area peace,security
479,day passes change conditions southern africa diminishes prospect mankinds total freedom enlarges spectre major conflagration africa,development
480,past year occupation worsened continued illegal settlement activity insecurity peoples palestine israel,security
481,whole,un
482,negotiations point halted,security
483,realism demands parties,un
484,nevertheless adamant conviction solution peace,security
485,found without understanding among parties without spirit,security
486,bretton woods institutions even worst,un
487,given thought matters general ideas answers,development
488,announced decision open tunnel,security
489,like us,development
490,whose authority right state,un
491,vienna right development,un
492,addressed general assembly,un
493,established post secretary state,un
494,assembly provides framework within efforts improve lot mankind basis ethical standards shared countries cherish peace freedom equality justice progress harmonized,un
495,continues unfold appalled eyes,un
496,genuine security also includes economic wellbeing,development
497,aim undermine shatter sense common,security
498,immediately supported appeal launched,security
499,problems besetting middle east,development
500,iraq prime minister almalikis national,greeting
501,august year parties treaty nonproliferation nuclear weapons held second review conference geneva,security
502,encourage new prime minister palestine mr,security
503,mr president general assembly mr secretarygeneral majesties honours highnesses excellencies ladies gentlemen,greeting
504,offering hopeful alternative,security
505,international factfinding mission,security
506,development northsouth cooperation,development
507,receive assurances intention,un
508,concerns world violence hate extreme,security
509,human rights council similar resolution,human
510,ninth summit conference nonaligned countries also emphasized readiness make full contribution initiation realization process conventional disarmament global regional sub regional levels,security
511,contingents protect deadly,security
512,growth able create millions,un
513,another matter,security
514,wish also express deep appreciation firm skilful manner mr humayun rasheed choudhury conducted work fortyfirst session general assembly,greeting
515,let us put,un
516,processes could negatively influence security,development
517,stability firm foundation international peace,security
518,year areas peace disarmament,security
519,bodies united nations side side intensive examination many,un
520,straightforward outspoken individual man,development
521,northern ireland catholics protestants,security
522,continues widen political social upheavals,development
523,children part war,security
524,security council regard ahtisaaris project,un
525,solution matter bearing mind,security
526,basis two principles armenia already signed,security
527,believe experience wellknown competence ensure success proceedings,greeting
528,international community maintain pressure,security
529,efforts united states america,un
530,similar expressions,un
531,access peaceful nuclear energy,security
532,vulnerable,human
533,alone,security
534,must written stone,un
535,great honour privilege today convey warm greetings majesty sultan yang di pertuan negara brunei darussalam general assembly,greeting
536,peacekeeping assessment,security
537,search supported number political diplomatic parliamentary moves concerned however paradoxical may seem maintenance peace members organization understand puts test capacity willingness recourse collective responsibility without paralysing effects ensure advent era lasting peace justice social progress,security
538,nations continued unabated past year,un
539,development,development
540,human security match aspirations seek,security
541,congo despite laudable efforts,security
542,days ago margarita hosted seventeenth summit heads state government nonaligned movement,human
543,argentina currently,security
544,civilized,security
545,culture peace dialogue among civilizations,security
546,also powers treat contempt disdain resolutions adopt illegal regime ian smith zimbabwe defies civilized world expense black population part africa,security
547,meeting led barcelona convention,un
548,help achieve legitimate demands,human
549,regrettably past year,human
550,therefore global threat,security
551,disarmament carry mandate,security
552,minimized,human
553,assembly fully aware one cardinal cornerstones united nations charter country large small whatever pretextshould allowed conquer despoil territories enslave peoples states let alone members united nations,un
554,community,security
555,kidding,security
556,member state shall continue state,un
557,one,development
558,normal policies also annuities life savings,development
559,order achieve objective korean people,security
560,observed latin america recent years,development
561,united nations angola verification mission unavem,security
562,indeed second world war many countries southeast asia fell victim colonial wars,security
563,committed sovereignty,un
564,system,un
565,continuation previous session reflects,un
566,alarmed continuing refusal,security
567,unfortunately disruptive elements seem able rely foreign complicity seek obtain,security
568,double standards,un
569,electronic registration carried july august,security
570,multilateral system based development trustworthy regional,development
571,conditions vulnerable,development
572,resolve question,un
573,geopolitical humanitarian challenges famine,security
574,countries promote employ unsustainable,security
575,dental title basic human rights continued,human
576,childrens fund unicef world health,human
577,hope negotiations way two communities aegis secretarygeneral achieve progress leading objective establishment basis eventual agreement enabling inhabitants cyprus live together peace,security
578,nations one mere crisis management,un
579,international climate,security
580,security,security
581,reestablished parties problem northern,security
582,let us,un
583,iraqs former dictator never use,security
584,treatment given caribbean countries context,development
585,colonialism would covered,human
586,development therefore crucial lifting millions,security
587,hoped nations cooperate amongst various international organizations struggle combat problems pollution,security
588,like appeal united nations particularly permanent members security council take meaningful measures resolve outstanding colonial problems southern africa,un
589,manner installing democratic governments,democracy
590,held marrakesh morocco,un
591,remain extremely sensitive undermining,development
592,large number,development
593,however progress human societies,human
594,note,un
595,hold view foreign countries respect cambodias independence neutrality refrain interfering internal affairs,security
596,diplomatic ability ensure success,greeting
597,remain true,security
598,degradation leads,un
599,steps,security
600,order create unrest country,security
601,cannot showing us change basic condition relative inequality except unequal inputs,development
602,lives caused significant growth unemployment,development
603,addition would like take opportunity,security
604,security council led united,un
605,order combat stop widespread,security
606,area,un
607,ethnic cultural,development
608,boundaries domestic foreign,security
609,lack access health care education housing,development
610,welcome establishment democracy,democracy
611,infrastructure interrelated contributors overall social economic viability,development
612,mandate principal forum debate,un
613,community,security
614,national level adopted policies favour status women equal men fields economic social cultural life,development
615,principality nature supportive,security
616,connection government republic,security
617,regional stability,security
618,proceeding overall,un
619,resources ability developing countries,development
620,sovereign sacred right exploit natural resources,development
621,according recent estimates million,development
622,environment less complex challenging,security
623,promptly full without conditions,development
624,every country,development
625,ideals indeed,un
626,continues strive emerge abyss conflict,security
627,settle dispute conference table,security
628,hence call upon major powers position play role putting end destructive war sparks fly directions start greater destructive fire,security
629,hope changing current situation,security
630,transparency would help set kind early warning system,security
631,strengthen cooperation make programme reality,security
632,competitiveness social justice solidarity,human
633,pursuing policy neutrality country seek security military alliances,security
634,contacts united nations centre human rights geneva,human
635,conduct evaluation,security
636,economic stability nations,development
637,systems country name areas,development
638,glowing reports course well received,security
639,meet new demands united nations must course adequate resources,un
640,yet see dividend,un
641,furthermore delegation convinced,development
642,secondly must provide united nations centre,security
643,behaviour population growth improving,development
644,contest direction equatorial guinea pleased beginning highlevel dialogue first approximately years north south korea view countrys reunification,greeting
645,agitated balkans,security
646,democracy,democracy
647,pledging conference geneva could guessed,security
648,sorbonne university abu dhabi inaugurated,development
649,freedom equality human beings,human
650,african,security
651,time,un
652,specific steps kyrgyzstan taken area,development
653,must remain united big family,un
654,myanmars,development
655,different regions world,security
656,alliance small island states,development
657,even today indian military police personnel participating peacekeeping missions operating highly challenging environments,security
658,recent meeting heads government commonwealth countries lusaka australia joined every commonwealth country issuing lusaka declaration commonwealth racism racial prejudicea document addressed problem racism forms every country,security
659,internal affairs states good neighbourliness,greeting
660,angola made headway trying bring peace country,security
661,place individual member states,un
662,either case people choose end world universe,security
663,shameful free world accepted without,human
664,country peoples republic china particular,security
665,sovereignty encompass international,security
666,real,security
667,today,un
668,wish convey two states best wishes progress well,greeting
669,credible effective,security
670,source great concern,un
671,multiracial south africa observed government,democracy
672,pacific countries distantwater fishing,development
673,accomplishing task could,un
674,quarter century since war gradual steady process readjustment relations,security
675,countries different obviously respect,security
676,minister turkey genuine leadership,security
677,enough,development
678,peril magnificent promise,un
679,established principles charter united nations overall,un
680,struggles times,security
681,military command supervision secretary,un
682,constitutes sole immutable basis independence,un
683,hommes several partners good,greeting
684,government remains committed,security
685,end felt need careful study matter,un
686,attempt aimed partial total,un
687,therefore,un
688,fissile material urgent achieve necessary,development
689,along countries,development
690,southeast europe balkans,security
691,agree opportune,development
692,collective quest fundamental,greeting
693,development social progress,development
694,would fully play role activating guiding,un
695,many lessons already learnt covidl,development
696,united nations,un
697,connexion need hardly recall united nations resolutions repeatedly stress inadmissibility acquisition territory force resolutions general assembly israeli withdrawal sinai war resolutions security council general assembly israels withdrawal territories occupied war illegality annexation arab city jerusalem,security
698,convening world disarmament conference proposed soviet union propaganda maneuver designed pass time listening empty speeches delude world give country opportunity act peoples world peace,security
699,triple veto exercised south africa namibia one veto vietnamese membership raise question whether mechanism limit use veto establish measure accountability security council,un
700,united nations spared sacrifice promote defend guarantee human rights throughout world,human
701,integration process achieved concrete results,security
702,process might lead solution,un
703,office,un
704,among neighbours series regional,human
705,convinced outset distinguished qualities great experience international life work present session conducted wisdom skill,greeting
706,including field security,security
707,fact common sense prevailed relationship major powers believe event greatest political importance affect planet recent decades,un
708,uprising constitutes living heroic example struggle peoples freedom independence,human
709,decisions responsibility,un
710,unique platform,human
711,wake unfathomable barbarous act,un
712,solution,security
713,maneuvers intimidations imprisonments tortures massacres change nothing therein,security
714,carefully monitors compliance safeguards,development
715,particularly relating promotion,development
716,whole range delays obstacles conditions imposed,security
717,assurance human dignity fulfilment,human
718,right vote right work right life,human
719,also suggested holding sofia ecological forum within framework conference security cooperation europe,development
720,supply goods services unsuitable,development
721,return kuwaiti thirdcountry nationals,security
722,group troop contributing countries establish,security
723,perhaps ever must tackle task,un
724,nations league arab states syria,security
725,strengthened united nations assume greater role,un
726,call,un
727,kuwait views great concern,security
728,jarring help finding solution painful problem conformity security council resolution,security
729,evolve,development
730,government calls strongest condemnation international community ethiopias persistent violations international law,security
731,reliable prevention illicit traffic fissile materials,security
732,perplexing four small rich countries met,development
733,every small effort make societies improve condition citizens positive effect global effort realize fundamental transformation international structures ensure better life inhabitants one world planet earth,development
734,interfere internal affairs guise,security
735,terms legitimate rights argentina,security
736,vulnerable external economic shocks,development
737,participate stability pact share views,security
738,foreign troops country,security
739,consequently hope negotiations post,security
740,votes membership body erudition experience diplomatic skills countrys brilliant contributions organization elevated exalted office,greeting
741,somali people,security
742,interests multinational private profits,development
743,tentative linkages explored,development
744,delegation delighted see illustrious secretarygeneral,greeting
